GrLivArea,SalePrice
2007,15925
2008,16148
2009,16383
2011,17094
2012,17522
2013,18015
2014,18462
2015,18876
2016,19459
1990,11580
1991,11796
1992,12218
1993,12634
1994,12914
1995,13106
1996,13335
1997,13572
1998,13695
1999,13811
2000,13977
2001,14312
2002,14437
2003,14951
2004,15360
2005,15556
2006,15724
2010,16718
2017,20111
2018,20673
2019,21247
1990,250601
1991,257246
1992,265162
1993,270050
1994,277583
1995,284299
1996,292146
1997,302488
1998,310208
1999,315331
2000,322351
2001,326917
2002,334650
2003,343083
2004,351470
2005,359312
2006,368885
2007,376491
2008,386074
2009,397522
2010,409619
2011,422028
2012,435399
2013,449450
2014,463478
2015,476591
2016,489801
2017,504198
2018,518707
2019,533567
1990,2616
1991,2698
1992,2642
1993,2586
1994,2493
1995,2614
1996,2756
1997,2871
1998,2963
1999,3030
2000,3073
2001,3044
2002,3190
2003,3388
2004,3463
2005,3468
2006,3395
2007,3357
2008,3471
2009,3528
2010,3617
2011,3759
2012,3865
2013,3982
2014,4143
2015,4313
2016,4419
2017,4517
2018,4611
2019,4705
1990,10571
1991,10917
1992,11145
1993,11386
1994,11629
1995,11865
1996,12034
1997,12203
1998,12338
1999,12640
2000,12910
2001,13167
2002,13499
2003,13869
2004,14377
2005,14916
2006,15400
2007,15949
2008,16524
2009,17155
2010,17706
2011,18236
2012,18795
2013,19359
2014,19993
2015,20663
2016,21303
2017,22061
2018,22953
2019,23816
1990,31
1991,32
1992,33
1993,34
1994,35
1995,37
1996,38
1997,39
1998,40
1999,41
2000,43
2001,44
2002,45
2003,47
2004,48
2005,50
2006,51
2007,52
2008,54
2009,55
2010,56
2011,58
2012,59
2013,61
2014,62
2015,63
2016,65
2017,66
2018,67
2019,68
1990,101
1991,107
1992,114
1993,121
1994,125
1995,128
1996,131
1997,135
1998,139
1999,143
2000,148
2001,153
2002,158
2003,164
2004,171
2005,174
2006,180
2007,185
2008,191
2009,196
2010,201
2011,191
2012,189
2013,193
2014,198
2015,203
2016,208
2017,215
2018,223
2019,230
1990,4883
1991,5010
1992,5168
1993,5367
1994,5549
1995,5650
1996,5652
1997,5779
1998,6081
1999,6351
2000,6513
2001,6608
2002,6751
2003,7018
2004,7380
2005,7518
2006,7770
2007,7969
2008,8294
2009,8640
2010,9025
2011,9408
2012,9803
2013,10124
2014,10314
2015,10753
2016,11142
2017,11673
2018,12241
2019,12791
1990,75
1991,77
1992,79
1993,84
1994,85
1995,86
1996,80
1997,80
1998,81
1999,83
2000,86
2001,86
2002,88
2003,89
2004,91
2005,92
2006,96
2007,112
2008,114
2009,108
2010,110
2011,113
2012,116
2013,117
2014,121
2015,124
2016,128
2017,131
2018,134
2019,138
1990,56399
1991,57122
1992,58603
1993,59365
1994,59889
1995,61086
1996,62791
1997,64496
1998,66293
1999,67589
2000,67318
2001,68241
2002,69686
2003,70855
2004,70656
2005,70761
2006,71641
2007,73495
2008,72954
2009,73515
2010,74506
2011,75294
2012,75967
2013,76594
2014,76832
2015,78388
2016,81304
2017,83141
2018,83676
2019,85209
1990,4136
1991,4274
1992,4588
1993,4681
1994,4478
1995,4487
1996,4606
1997,4525
1998,4565
1999,4659
2000,4696
2001,4862
2002,4948
2003,5086
2004,5103
2005,5248
2006,5409
2007,5427
2008,5604
2009,5635
2010,5672
2011,5697
2012,5672
2013,5571
2014,5612
2015,5768
2016,5714
2017,5756
2018,5789
2019,5834
1990,31401
1991,31902
1992,32785
1993,33430
1994,34419
1995,34883
1996,35577
1997,35937
1998,36234
1999,36561
2000,37009
2001,37485
2002,38098
2003,37909
2004,39058
2005,39704
2006,40546
2007,41904
2008,43049
2009,43523
2010,44010
2011,44902
2012,45387
2013,46192
2014,47417
2015,48482
2016,48970
2017,50188
2018,52196
2019,53700
1990,20644
1991,20747
1992,20787
1993,20731
1994,20543
1995,20605
1996,20558
1997,20411
1998,20321
1999,20222
2000,20150
2001,19938
2002,20079
2003,20229
2004,20105
2005,20113
2006,20028
2007,20212
2008,20392
2009,20779
2010,20897
2011,21138
2012,21473
2013,21625
2014,21771
2015,22000
2016,21954
2017,21847
2018,21930
2019,22258
1990,6953
1991,7121
1992,7429
1993,7553
1994,7638
1995,7457
1996,7324
1997,7217
1998,7205
1999,7244
2000,7267
2001,7307
